,Price per Unit,Units Sold,Total Sales,Operating Margin,Year,Sales Method_Online,Sales Method_Outlet
93,40,925,370000,35,2020,0,1
94,35,775,271250,35,2020,0,1
95,40,700,280000,45,2020,0,1
96,45,600,270000,30,2020,0,1
97,40,950,380000,50,2020,0,1
98,40,950,380000,35,2020,0,1
99,45,950,427500,35,2020,0,1
100,40,800,320000,35,2020,0,1
101,40,750,300000,45,2020,0,1
102,45,650,292500,30,2020,0,1
103,50,1000,500000,50,2020,0,1
104,40,950,380000,35,2020,0,1
105,45,950,427500,35,2020,0,1
106,40,1100,440000,35,2020,0,1
107,40,700,280000,45,2020,0,1
108,45,700,315000,30,2020,0,1
109,50,975,487500,50,2020,0,1
110,40,925,370000,35,2020,0,1
111,45,925,416250,35,2020,0,1
112,40,1100,440000,35,2020,0,1
113,40,650,260000,45,2020,0,1
114,45,650,292500,30,2020,0,1
115,50,900,450000,50,2020,0,1
116,45,850,382500,35,2020,0,1
117,45,850,382500,35,2020,0,1
118,50,900,450000,35,2020,0,1
119,50,625,312500,45,2020,0,1
120,45,625,281250,30,2020,0,1
121,55,850,467500,50,2020,0,1
122,45,800,360000,35,2020,0,1
123,45,800,360000,35,2020,0,1
124,50,750,375000,35,2020,0,1
125,50,600,300000,45,2020,0,1
126,45,575,258750,30,2020,0,1
127,55,750,412500,50,2020,0,1
128,45,900,405000,35,2020,0,1
129,45,900,405000,35,2020,0,1
130,50,825,412500,35,2020,0,1
131,50,675,337500,45,2020,0,1
132,45,650,292500,30,2020,0,1
133,55,850,467500,50,2020,0,1
134,45,950,427500,35,2020,0,1
135,45,950,427500,35,2020,0,1
136,50,850,425000,35,2020,0,1
137,50,700,350000,45,2020,0,1
138,45,650,292500,30,2020,0,1
139,55,900,495000,50,2020,0,1
140,40,775,310000,35,2020,0,1
141,50,775,387500,20,2020,0,1
142,50,775,387500,35,2020,0,1
143,50,625,312500,30,2020,0,1
144,55,575,316250,50,2020,0,1
145,50,775,387500,15,2020,0,1
146,40,825,330000,35,2020,0,1
147,50,725,362500,20,2020,0,1
148,50,725,362500,35,2020,0,1
149,50,575,287500,30,2020,0,1
150,55,500,275000,50,2020,0,1
151,50,700,350000,15,2020,0,1
152,50,850,425000,35,2020,0,1
153,60,700,420000,20,2020,0,1
154,60,700,420000,35,2020,0,1
155,60,600,360000,30,2020,0,1
156,65,500,325000,50,2020,0,1
157,60,700,420000,15,2020,0,1
158,60,875,525000,35,2020,0,1
159,65,675,438750,20,2020,0,1
160,65,725,471250,35,2020,0,1
161,60,625,375000,30,2020,0,1
162,65,525,341250,50,2020,0,1
163,80,700,560000,15,2020,0,1
164,60,900,540000,40,2020,0,1
165,65,750,487500,25,2021,0,1
166,65,750,487500,40,2021,0,1
167,60,650,390000,35,2021,0,1
168,65,550,357500,55,2021,0,1
169,80,725,580000,20,2021,0,1
170,60,975,585000,40,2021,0,1
171,65,825,536250,25,2021,0,1
172,65,825,536250,40,2021,0,1
173,60,700,420000,35,2021,0,1
174,65,575,373750,55,2021,0,1
175,80,875,700000,20,2021,0,1
176,60,1025,615000,35,2021,0,1
177,65,875,568750,20,2021,0,1
178,65,825,536250,35,2021,0,1
179,60,725,435000,30,2021,0,1
180,65,775,503750,50,2021,0,1
181,80,775,620000,15,2021,0,1
182,65,975,633750,35,2021,0,1
183,70,925,647500,20,2021,0,1
184,65,800,520000,35,2021,0,1
185,65,750,487500,30,2021,0,1
186,75,750,562500,50,2021,0,1
187,80,725,580000,15,2021,0,1
188,55,925,508750,30,2021,0,1
189,60,925,555000,15,2021,0,1
190,55,775,426250,30,2021,0,1
191,55,725,398750,25,2021,0,1
192,65,725,471250,45,2021,0,1
193,70,775,542500,10,2021,0,1
194,55,875,481250,30,2021,0,1
195,60,875,525000,15,2021,0,1
196,55,700,385000,30,2021,0,1
197,55,675,371250,25,2021,0,1
198,65,650,422500,45,2021,0,1
199,70,700,490000,10,2021,0,1
200,55,875,481250,30,2021,0,1
201,60,875,525000,15,2021,0,1
202,55,725,398750,30,2021,0,1
203,55,700,385000,25,2021,0,1
204,65,650,422500,45,2021,0,1
205,70,775,542500,10,2021,0,1
206,55,975,536250,30,2021,0,1
207,60,975,585000,15,2021,0,1
208,55,775,426250,30,2021,0,1
209,55,775,426250,25,2021,0,1
210,65,700,455000,45,2021,0,1
211,70,800,560000,10,2021,0,1
212,35,700,245000,40,2021,0,1
213,45,700,315000,25,2021,0,1
214,45,700,315000,40,2021,0,1
215,45,550,247500,35,2021,0,1
216,50,500,250000,55,2021,0,1
217,45,700,315000,20,2021,0,1
218,35,750,262500,40,2021,0,1
219,45,650,292500,25,2021,0,1
220,45,675,303750,40,2021,0,1
221,45,525,236250,35,2021,0,1
222,50,450,225000,55,2021,0,1
223,45,650,292500,20,2021,0,1
224,35,800,280000,40,2021,0,1
225,45,650,292500,25,2021,0,1
226,45,650,292500,40,2021,0,1
227,45,550,247500,35,2021,0,1
228,50,425,212500,55,2021,0,1
229,45,625,281250,20,2021,0,1
230,45,800,360000,40,2021,0,1
231,50,600,300000,25,2021,0,1
232,50,625,312500,40,2021,0,1
233,45,525,236250,35,2021,0,1
234,50,425,212500,55,2021,0,1
235,65,600,390000,20,2021,0,1
236,45,800,360000,40,2021,0,1
237,50,650,325000,25,2021,0,1
238,50,650,325000,40,2021,0,1
239,45,550,247500,35,2021,0,1
240,50,450,225000,55,2021,0,1
241,65,625,406250,20,2021,0,1
242,45,900,405000,40,2021,0,1
243,50,750,375000,25,2021,0,1
244,50,750,375000,40,2021,0,1
245,45,625,281250,35,2021,0,1
246,50,500,250000,55,2021,0,1
247,65,800,520000,20,2021,0,1
248,45,950,427500,40,2021,0,1
249,50,800,400000,25,2021,0,1
250,50,750,375000,40,2021,0,1
251,45,650,292500,35,2021,0,1
252,50,700,350000,55,2021,0,1
253,65,700,455000,20,2021,0,1
254,50,900,450000,40,2021,0,1
255,55,850,467500,25,2021,0,1
256,50,725,362500,40,2021,0,1
257,50,675,337500,35,2021,0,1
258,60,675,405000,55,2021,0,1
259,65,650,422500,20,2021,0,1
260,50,850,425000,40,2021,0,1
261,55,850,467500,25,2021,0,1
262,50,700,350000,40,2021,0,1
263,50,650,325000,35,2021,0,1
264,60,650,390000,55,2021,0,1
265,65,700,455000,20,2021,0,1
266,50,800,400000,40,2021,0,1
267,55,800,440000,25,2021,0,1
268,50,650,325000,40,2021,0,1
269,50,625,312500,35,2021,0,1
270,60,600,360000,55,2021,0,1
271,65,650,422500,20,2021,0,1
272,50,825,412500,40,2021,0,1
273,55,825,453750,25,2021,0,1
274,50,675,337500,40,2021,0,1
275,50,650,325000,35,2021,0,1
276,60,600,360000,55,2021,0,1
277,65,700,455000,20,2021,0,1
278,50,900,450000,40,2021,0,1
279,55,900,495000,25,2021,0,1
280,50,700,350000,40,2021,0,1
281,50,700,350000,35,2021,0,1
282,60,625,375000,55,2021,0,1
283,65,725,471250,20,2021,0,1
284,45,475,213750,40,2021,0,1
285,45,275,123750,35,2021,0,1
286,35,275,96250,35,2021,0,1
287,40,125,50000,40,2021,0,1
288,55,175,96250,35,2021,0,1
289,45,275,123750,50,2021,0,1
290,45,525,236250,40,2021,0,1
291,45,175,78750,35,2021,0,1
292,35,225,78750,35,2021,0,1
293,40,100,40000,40,2021,0,1
294,55,175,96250,35,2021,0,1
295,45,275,123750,50,2021,0,1
296,50,495,247500,40,2021,0,1
297,50,200,100000,35,2021,0,1
298,40,225,90000,35,2021,0,1
299,45,75,33750,40,2021,0,1
300,60,125,75000,35,2021,0,1
301,50,225,112500,50,2021,0,1
302,50,450,225000,40,2021,0,1
303,50,150,75000,35,2021,0,1
304,40,150,60000,35,2021,0,1
305,45,75,33750,40,2021,0,1
306,60,100,60000,35,2021,0,1
307,50,225,112500,50,2021,0,1
308,60,495,297000,40,2021,0,1
309,55,200,110000,35,2021,0,1
310,50,175,87500,35,2021,0,1
311,50,100,50000,40,2021,0,1
312,60,125,75000,35,2021,0,1
313,65,250,162500,50,2021,0,1
314,50,500,250000,40,2021,0,1
315,45,250,112500,35,2021,0,1
316,40,200,80000,35,2021,0,1
317,40,175,70000,40,2021,0,1
318,50,175,87500,35,2021,0,1
319,55,350,192500,50,2021,0,1
320,50,575,287500,40,2021,0,1
321,45,325,146250,35,2021,0,1
322,40,250,100000,35,2021,0,1
323,40,200,80000,40,2021,0,1
324,50,225,112500,35,2021,0,1
325,55,400,220000,50,2021,0,1
326,50,550,275000,40,2021,0,1
327,45,325,146250,35,2021,0,1
328,40,250,100000,35,2021,0,1
329,40,225,90000,40,2021,0,1
330,50,200,100000,35,2021,0,1
331,55,375,206250,50,2021,0,1
332,50,500,250000,40,2021,0,1
333,45,300,135000,35,2021,0,1
334,40,200,80000,35,2021,0,1
335,40,175,70000,40,2021,0,1
336,50,175,87500,35,2021,0,1
337,55,250,137500,50,2021,0,1
338,60,425,255000,40,2021,0,1
339,50,250,125000,35,2021,0,1
340,50,150,75000,35,2021,0,1
341,50,125,62500,40,2021,0,1
342,60,125,75000,35,2021,0,1
343,65,250,162500,50,2021,0,1
344,60,400,240000,40,2021,0,1
345,50,250,125000,35,2021,0,1
346,50,195,97500,35,2021,0,1
347,50,175,87500,40,2021,0,1
348,60,150,90000,35,2021,0,1
349,65,250,162500,50,2021,0,1
350,60,500,300000,40,2021,0,1
351,50,300,150000,35,2021,0,1
352,50,250,125000,35,2021,0,1
353,50,200,100000,40,2021,0,1
354,60,200,120000,35,2021,0,1
355,65,300,195000,50,2021,0,1
356,20,725,145000,30,2021,0,1
357,30,725,217500,30,2021,0,1
358,30,525,157500,30,2021,0,1
359,35,525,183750,40,2021,0,1
360,40,375,150000,25,2021,0,1
361,35,525,183750,45,2021,0,1
362,25,675,168750,30,2021,0,1
363,35,650,227500,30,2021,0,1
364,35,475,166250,30,2021,0,1
365,35,425,148750,40,2021,0,1
366,40,300,120000,25,2021,0,1
367,35,500,175000,45,2021,0,1
368,30,675,202500,35,2021,0,1
369,40,675,270000,35,2021,0,1
370,30,500,150000,35,2021,0,1
371,35,400,140000,45,2021,0,1
372,40,300,120000,30,2021,0,1
373,35,450,157500,50,2021,0,1
374,20,700,140000,35,2021,0,1
375,30,700,210000,35,2021,0,1
376,25,525,131250,35,2021,0,1
377,30,425,127500,45,2021,0,1
378,35,325,113750,30,2021,0,1
379,30,600,180000,50,2021,0,1
380,20,750,150000,35,2021,0,1
381,30,775,232500,35,2021,0,1
382,25,625,156250,35,2021,0,1
383,35,550,192500,45,2021,0,1
384,50,450,225000,30,2021,0,1
385,45,800,360000,50,2021,0,1
386,45,800,360000,35,2021,0,1
387,50,800,400000,35,2021,0,1
388,45,650,292500,35,2021,0,1
389,45,600,270000,45,2021,0,1
390,50,500,250000,30,2021,0,1
391,55,875,481250,50,2021,0,1
392,45,825,371250,40,2021,0,1
393,50,825,412500,40,2021,0,1
394,45,975,438750,40,2021,0,1
395,45,575,258750,50,2021,0,1
396,50,575,287500,35,2021,0,1
397,60,850,510000,55,2021,0,1
398,50,800,400000,40,2021,0,1
399,55,800,440000,40,2021,0,1
400,50,975,487500,40,2021,0,1
401,50,525,262500,50,2021,0,1
402,55,525,288750,35,2021,0,1
403,60,775,465000,55,2021,0,1
404,55,725,398750,40,2021,0,1
405,55,675,371250,40,2021,0,1
406,60,725,435000,40,2021,0,1
407,60,450,270000,50,2021,0,1
408,55,450,247500,35,2021,0,1
409,50,675,337500,55,2021,0,1
410,40,625,250000,40,2021,0,1
411,40,625,250000,40,2021,0,1
412,45,575,258750,40,2021,0,1
413,45,425,191250,50,2021,0,1
414,40,400,160000,35,2021,0,1
415,50,575,287500,55,2021,0,1
416,40,725,290000,40,2021,0,1
417,40,725,290000,40,2021,0,1
418,65,650,422500,40,2021,0,1
419,65,500,325000,50,2021,0,1
420,60,475,285000,35,2021,0,1
421,70,675,472500,55,2021,0,1
422,60,825,495000,40,2021,0,1
423,60,825,495000,40,2021,0,1
424,65,725,471250,40,2021,0,1
425,65,575,373750,50,2021,0,1
426,60,525,315000,35,2021,0,1
427,70,775,542500,55,2021,0,1
428,45,425,191250,55,2021,0,1
429,45,225,101250,35,2021,0,1
430,35,225,78750,40,2021,0,1
431,40,75,30000,40,2021,0,1
432,55,125,68750,35,2021,0,1
433,45,225,101250,30,2021,0,1
434,45,475,213750,55,2021,0,1
435,45,125,56250,35,2021,0,1
436,35,175,61250,40,2021,0,1
437,40,50,20000,40,2021,0,1
438,55,125,68750,35,2021,0,1
439,45,225,101250,30,2021,0,1
440,50,445,222500,55,2021,0,1
441,50,150,75000,35,2021,0,1
442,40,175,70000,40,2021,0,1
443,45,25,11250,40,2021,0,1
444,60,75,45000,30,2021,0,1
445,50,175,87500,25,2021,0,1
446,50,450,225000,50,2021,0,1
447,50,150,75000,30,2021,0,1
448,40,150,60000,35,2021,0,1
449,45,75,33750,35,2021,0,1
450,60,75,45000,30,2021,0,1
451,50,200,100000,25,2021,0,1
452,60,470,282000,50,2021,0,1
453,60,175,105000,30,2021,0,1
454,55,150,82500,35,2021,0,1
455,55,100,55000,35,2021,0,1
456,65,125,81250,30,2021,0,1
457,70,250,175000,30,2021,0,1
458,65,500,325000,55,2021,0,1
459,60,250,150000,35,2021,0,1
460,55,175,96250,40,2021,0,1
461,55,150,82500,40,2021,0,1
462,65,150,97500,35,2021,0,1
463,70,300,210000,30,2021,0,1
464,65,500,325000,55,2021,0,1
465,60,300,180000,35,2021,0,1
466,55,225,123750,40,2021,0,1
467,55,175,96250,40,2021,0,1
468,65,200,130000,35,2021,0,1
469,70,375,262500,30,2021,0,1
470,65,525,341250,55,2021,0,1
471,60,300,180000,35,2021,0,1
472,55,225,123750,40,2021,0,1
473,55,200,110000,40,2021,0,1
474,65,175,113750,35,2021,0,1
475,70,350,245000,30,2021,0,1
476,65,475,308750,50,2021,0,1
477,50,275,137500,30,2021,0,1
478,45,200,90000,35,2021,0,1
479,45,175,78750,35,2021,0,1
480,55,125,68750,30,2021,0,1
481,60,225,135000,25,2021,0,1
482,60,400,240000,50,2021,0,1
483,50,225,112500,30,2021,0,1
484,50,125,62500,35,2021,0,1
485,50,100,50000,35,2021,0,1
486,60,100,60000,30,2021,0,1
487,65,225,146250,25,2021,0,1
488,70,375,262500,55,2021,0,1
489,60,200,120000,35,2021,0,1
490,60,195,117000,40,2021,0,1
491,60,175,105000,40,2021,0,1
492,70,150,105000,35,2021,0,1
493,75,250,187500,30,2021,0,1
494,70,475,332500,55,2021,0,1
495,60,275,165000,35,2021,0,1
496,60,225,135000,40,2021,0,1
497,60,175,105000,40,2021,0,1
498,70,175,122500,35,2021,0,1
499,75,275,206250,30,2020,0,1
500,35,450,157500,40,2020,0,1
501,45,450,202500,25,2020,0,1
502,45,450,202500,40,2020,0,1
503,45,300,135000,35,2020,0,1
504,50,250,125000,55,2020,0,1
505,45,475,213750,20,2020,0,1
506,35,525,183750,40,2020,0,1
507,45,425,191250,25,2020,0,1
508,45,425,191250,40,2020,0,1
509,45,275,123750,35,2020,0,1
510,50,200,100000,55,2020,0,1
511,45,400,180000,20,2020,0,1
512,45,550,247500,40,2020,0,1
513,55,400,220000,25,2020,0,1
514,55,400,220000,40,2020,0,1
515,55,300,165000,35,2020,0,1
516,60,175,105000,55,2020,0,1
517,55,375,206250,20,2020,0,1
518,60,550,330000,40,2020,0,1
519,65,350,227500,25,2020,0,1
520,65,400,260000,40,2020,0,1
521,60,300,180000,35,2020,0,1
522,65,200,130000,55,2020,0,1
523,80,350,280000,20,2020,0,1
524,60,550,330000,45,2020,0,1
525,65,400,260000,30,2020,0,1
526,65,400,260000,45,2020,0,1
527,60,300,180000,40,2020,0,1
528,65,200,130000,60,2020,0,1
529,80,450,360000,25,2020,0,1
530,60,700,420000,45,2020,0,1
531,65,550,357500,30,2020,0,1
532,65,550,357500,45,2020,0,1
533,60,425,255000,40,2020,0,1
534,65,300,195000,60,2020,0,1
535,80,600,480000,25,2020,0,1
536,60,750,450000,40,2020,0,1
537,65,600,390000,25,2020,0,1
538,65,550,357500,40,2020,0,0
539,60,450,270000,35,2020,0,0
540,65,500,325000,55,2020,0,0
541,80,500,400000,20,2020,0,0
542,65,700,455000,40,2020,0,0
543,70,650,455000,25,2020,0,0
544,65,525,341250,40,2020,0,0
545,65,475,308750,35,2020,0,0
546,75,475,356250,55,2020,0,0
547,80,400,320000,20,2020,0,0
548,60,600,360000,35,2020,0,0
549,65,600,390000,20,2020,0,0
550,60,450,270000,35,2020,0,0
551,60,400,240000,30,2020,0,0
552,70,400,280000,50,2020,0,0
553,75,450,337500,15,2020,0,0
554,60,550,330000,35,2020,0,0
555,65,550,357500,20,2020,0,0
556,60,375,225000,35,2020,0,0
557,60,350,210000,30,2020,0,0
558,70,325,227500,50,2020,0,0
559,75,375,281250,15,2020,0,0
560,60,575,345000,35,2020,0,0
561,65,575,373750,20,2020,0,0
562,60,425,255000,35,2020,0,0
563,60,400,240000,30,2020,0,0
564,70,350,245000,50,2020,0,0
565,75,475,356250,15,2020,0,0
566,60,675,405000,35,2020,0,0
567,65,675,438750,20,2020,0,0
568,60,475,285000,35,2020,0,0
569,60,475,285000,30,2020,0,0
570,70,400,280000,50,2020,0,0
571,75,500,375000,15,2020,0,0
572,30,425,127500,35,2020,0,0
573,40,425,170000,20,2020,0,0
574,40,425,170000,35,2020,0,0
575,40,275,110000,30,2020,0,0
576,45,225,101250,50,2020,0,0
577,40,475,190000,15,2020,0,0
578,30,525,157500,35,2020,0,0
579,40,425,170000,20,2020,0,0
580,40,425,170000,35,2020,0,0
581,40,275,110000,30,2020,0,0
582,45,200,90000,50,2020,0,0
583,40,400,160000,15,2020,0,0
584,40,550,220000,35,2020,0,0
585,50,400,200000,20,2020,0,0
586,55,400,220000,35,2020,0,0
587,55,300,165000,30,2020,0,0
588,60,150,90000,50,2020,0,0
589,55,350,192500,15,2020,0,0
590,60,525,315000,35,2020,0,0
591,65,325,211250,20,2020,0,0
592,65,375,243750,35,2020,0,0
593,60,275,165000,30,2020,0,0
594,65,175,113750,50,2020,0,0
595,80,325,260000,15,2020,0,0
596,60,525,315000,50,2020,0,0
597,65,375,243750,35,2020,0,0
598,65,375,243750,50,2020,0,0
599,60,275,165000,45,2020,0,0
600,65,175,113750,65,2020,0,0
601,80,475,380000,30,2020,0,0
602,60,725,435000,50,2020,0,0
603,65,575,373750,35,2020,0,0
604,65,575,373750,50,2020,0,0
605,65,450,292500,45,2020,0,0
606,70,325,227500,65,2020,0,0
607,85,625,531250,30,2020,0,0
608,65,775,503750,45,2020,0,0
609,70,625,437500,30,2020,0,0
610,70,575,402500,45,2020,0,0
611,65,475,308750,40,2020,0,0
612,70,525,367500,60,2020,0,0
613,85,525,446250,25,2020,0,0
614,70,725,507500,45,2020,0,0
615,75,675,506250,30,2020,0,0
616,70,550,385000,45,2020,0,0
617,70,500,350000,40,2020,0,0
618,75,500,375000,60,2020,0,0
619,80,400,320000,25,2020,0,0
620,65,600,390000,40,2020,0,0
621,70,600,420000,25,2020,0,0
622,65,450,292500,40,2020,0,0
623,65,400,260000,35,2020,0,0
624,75,400,300000,55,2020,0,0
625,70,425,297500,20,2020,0,0
626,55,525,288750,40,2020,0,0
627,60,525,315000,25,2020,0,0
628,55,350,192500,40,2020,0,0
629,55,325,178750,35,2020,0,0
630,65,300,195000,55,2020,0,0
631,70,350,245000,20,2020,0,0
632,55,575,316250,40,2020,0,0
633,60,575,345000,25,2020,0,0
634,55,425,233750,40,2020,0,0
635,65,400,260000,35,2020,0,0
636,75,375,281250,55,2020,0,0
637,80,500,400000,20,2020,0,0
638,65,700,455000,40,2020,0,0
639,70,700,490000,25,2020,0,0
640,65,500,325000,40,2020,0,0
641,65,500,325000,35,2020,0,0
642,75,425,318750,55,2020,0,0
643,80,525,420000,20,2020,0,0
644,40,450,180000,30,2020,0,0
645,50,450,225000,25,2020,0,0
646,50,450,225000,25,2020,0,0
647,50,300,150000,30,2020,0,0
648,55,250,137500,25,2020,0,0
649,50,500,250000,20,2020,0,0
650,40,550,220000,30,2020,0,0
651,50,450,225000,25,2020,0,0
652,50,450,225000,25,2020,0,0
653,50,300,150000,30,2020,0,0
654,55,225,123750,25,2020,0,0
655,50,425,212500,20,2020,0,0
656,50,575,287500,30,2020,0,0
657,60,425,255000,25,2020,0,0
658,65,425,276250,25,2020,0,0
659,65,325,211250,30,2020,0,0
660,70,175,122500,25,2020,0,0
661,65,375,243750,20,2020,0,0
662,70,550,385000,30,2020,0,0
663,75,350,262500,25,2020,0,0
664,75,400,300000,25,2020,0,0
665,60,300,180000,30,2020,0,0
666,65,200,130000,25,2020,0,0
667,80,350,280000,20,2020,0,0
668,60,550,330000,30,2020,0,0
669,65,400,260000,25,2020,0,0
670,65,400,260000,25,2020,0,0
671,60,300,180000,30,2020,0,0
672,65,200,130000,25,2020,0,0
673,80,500,400000,20,2020,0,0
674,75,750,562500,30,2020,0,0
675,80,625,500000,25,2020,0,0
676,80,625,500000,25,2020,0,0
677,80,500,400000,30,2020,0,0
678,85,375,318750,25,2020,0,0
679,100,675,675000,20,2020,0,0
680,80,825,660000,30,2020,0,0
681,85,675,573750,25,2020,0,0
682,85,625,531250,25,2020,0,0
683,80,525,420000,30,2020,0,0
684,85,575,488750,25,2020,0,0
685,100,575,575000,20,2020,0,0
686,85,775,658750,30,2020,0,0
687,80,750,600000,25,2020,0,0
688,75,625,468750,25,2020,0,0
689,75,575,431250,30,2020,0,0
690,75,575,431250,25,2020,0,0
691,80,400,320000,20,2020,0,0
692,70,600,420000,30,2020,0,0
693,75,600,450000,25,2020,0,0
694,70,450,315000,25,2020,0,0
695,70,400,280000,30,2020,0,0
696,80,425,340000,25,2020,0,0
697,65,450,292500,20,2020,0,0
698,60,550,330000,30,2020,0,0
699,65,550,357500,25,2020,0,0
700,60,375,225000,25,2020,0,0
701,60,350,210000,30,2020,0,0
702,70,325,227500,25,2020,0,0
703,75,375,281250,20,2020,0,0
704,60,600,360000,30,2020,0,0
705,65,625,406250,25,2020,0,0
706,60,475,285000,25,2020,0,0
707,70,450,315000,30,2020,0,0
708,90,425,382500,25,2020,0,0
709,95,550,522500,20,2020,0,0
710,80,750,600000,30,2020,0,0
711,85,750,637500,25,2020,0,0
712,80,550,440000,25,2020,0,0
713,80,550,440000,30,2020,0,0
714,90,475,427500,25,2020,0,0
715,95,575,546250,20,2020,0,0
716,45,1050,472500,45,2020,0,0
717,45,850,382500,35,2020,0,0
718,35,850,297500,25,2020,0,0
719,40,700,280000,30,2020,0,0
720,55,750,412500,35,2020,0,0
721,45,850,382500,50,2020,0,0
722,45,1100,495000,45,2020,0,0
723,45,750,337500,35,2020,0,0
724,35,800,280000,25,2020,0,0
725,40,675,270000,30,2020,0,0
726,55,750,412500,35,2020,0,0
727,45,850,382500,50,2020,0,0
728,45,1070,481500,45,2020,0,0
729,45,750,337500,35,2020,0,0
730,35,775,271250,25,2020,0,0
731,40,625,250000,30,2020,0,0
732,55,675,371250,35,2020,0,0
733,45,775,348750,50,2020,0,0
734,45,1025,461250,45,2020,0,0
735,45,725,326250,35,2020,0,0
736,35,725,253750,25,2020,0,0
737,40,650,260000,30,2020,0,0
738,55,675,371250,35,2020,0,0
739,45,800,360000,50,2020,0,0
740,55,1070,588500,45,2020,0,0
741,55,775,426250,35,2020,0,0
742,50,750,375000,25,2020,0,0
743,50,700,350000,30,2020,0,0
744,60,725,435000,35,2020,0,0
745,65,825,536250,50,2020,0,0
746,60,1075,645000,45,2020,0,0
747,55,825,453750,35,2020,0,0
748,50,800,400000,25,2020,0,0
749,50,775,387500,30,2020,0,0
750,65,775,503750,35,2020,0,0
751,70,925,647500,50,2020,0,0
752,65,1150,747500,45,2020,0,0
753,60,900,540000,35,2020,0,0
754,55,825,453750,25,2020,0,0
755,55,775,426250,30,2020,0,0
756,65,800,520000,35,2020,0,0
757,70,975,682500,50,2020,0,0
758,65,1125,731250,45,2020,0,0
759,60,900,540000,35,2020,0,0
760,55,825,453750,25,2020,0,0
761,45,775,348750,30,2020,0,0
762,55,750,412500,35,2020,0,0
763,60,925,555000,50,2020,0,0
764,55,1050,577500,45,2020,0,0
765,50,850,425000,35,2020,0,0
766,45,750,337500,25,2020,0,0
767,45,725,326250,30,2020,0,0
768,55,725,398750,35,2020,0,0
769,60,825,495000,50,2020,0,0
